position,question,topic,example_answer
be,How query can work when we sharding (the data might be in the same or different tables/dbs)?,database,"For a query that we might know exactly where data is using its key, we can detect which shard is holding necessary data and query on this shard.For a query that data might be on a lot of shards, we can execute the query on all possible shards then aggregate data later."
be,What is database transaction?,database,"Relational DB ensures Atomicity by Transaction. A transaction is a collection of operations. Either all of those operations are executed, or non of them is executed. It ensures there is no time when something is failed in the middle and we have no idea when or how to roll back."
be,"What is dirty read, dirty write, read skew, phantom read, write skew, lost update?",database,"Dirty read is when transaction A is allowed to read a value that has been modified by transaction B but has yet been committed. This may cause a problem when transaction B fails and rollback happens, so the value that A reads is not the value in database.Dirty write is when transaction A is allowed to write a value that has been modified by transaction B but has yet been committed.Read skew is when someone needs to read one value multiple times in a transaction. But the result each time is different.Phantom read is when a transaction needs to get a collection of records multiple times in a transaction. But the number of records each time is different.Write skew is when someone needs to read some object then update some object based on the result of the read value.Lost update is a special case of write skew when read and update happen with the same object.Read committed is a weak isolation level that is used to guarantee no dirty read and no dirty write. It assures that all object that can be read is already committed and no write can happen to an uncommitted object.2 stronger isolation levels are snapshot isolation and serializable snapshot isolation. For snapshot isolation, a transaction can read the old version of a value while other transactions are writing. For serializable snapshot isolation, a transaction cannot read while other transactions are writing. It is called 2PL - two-phase locking."
be,Distributed transaction? How to make a transaction when a query needs to access multiple DB?,database,"A distributed transaction is needed when data that suppose to be in a transaction is stored in different databases. There is a technique called 2 phase commit (2PC) that helps to resolve this situation.There will be a coordinator which orchestrates the whole transaction. When the transaction begins, the coordinator generates a global transaction ID for all participants of this transaction. Each participant will execute their own transaction that attaches to the global transaction. When all local transactions are done, the coordinator sends the prepare request for all participants. This is the first phase - the prepare phase in 2PC. Participants can respond yes or no, indicate if they can commit this transaction or not. And the ""yes"" answer is the promise that it will be able to commit this transaction no matter what. If all participants respond ""yes"", the coordinator can decide to commit this transaction and send the commit request to all participants. This is the second phase of 2PC, the commit phase. Once the commit decision is made by the coordinator, it is irreversible. It will keep resending commit requests to participants no matter what. If the coordinator fails, the participant must keep the status of being able to commit this global transaction no matter what."
be,How TCP open a connection? What does it need to open a connection?,networking,"TCP needs to open a connection to determine if the server is available to respond and know there is a way from it to the server before transferring data. To open a connection, firstly server must be bound and listen to a port, it is passive open. Then a process called 3 way handshake happens:- Client sent SYN packet to the server with sequence num A- Server sends SYN-ACK packet to the client with rand sequence num B and ack num A' = A+1- Client sends ACK packet to the server, with ack num B' = B+1 and the sequence number is A' ( the ack num it received in step 2)"
be,Why there are 3 way handshakes but not 2 way?,networking,"2-way will establish a half-duplex connection only. It means this is a one-direction connection the client is the only sender and the server is the only receiver. 3-way will establish a full-duplex connection, both client and server are sender and receiver."
be,"What is syn, ack mean?",networking,Syn means synchronizaton. SYN packet is sent when the sender tries to connect to the receiver.Ack means acknowledgment. ACK packet is sent by the receiver to the sender to help the sender know that the SYN packet that it sent before reached the destination successfully.
be,"Why they have to send 2 ""random"" sequence numbers? The purpose of this sequence number?",networking,"Sequence numbers are used to keep track of the order of data. The initial sequence number needs to be chosen randomly so the data in one flow will not be conflicted with other data bytes in other flows which are transmitted in the same TCP connection. Because sequence number is 32-bit integer so the maximum value of a sequence number is 2^32 - 1. So if the amount of data is greater than 4GB, at least one sequence number value will be reused."
be,What if the 3rd handshake fail? How the server can detect it and what does it do in this case?,networking,Retry and timeout.
be,What happens if some bits are wrong due to connection errors? How to detect them and fix them?,networking,"If some bits are wrong, the checksum of this packet will not match. In this case, the receiver will discard this packet."
be,"What will happen if some ""packet"" is missing on the way?",networking,"When a packet is missing, network congestion is assumed to happen. TCP has its own way to deal with network congestion. It is called TCP Congestion control. It starts when slow-start phrase, in which the transmit rate (congestion window) grows exponentially, doubling each round trip time. When a packet is lost, congestion avoidance begins. The transmit rate is cut into half, then increase linearly, usually by 1 each RTT."
be,How TCP close the connection?,networking,"It does a 4-way handshake. Firstly peer A send a FIN packet to peer B. Then peer B send an ACK packet for the FIN it receives. After that peer B send it own FIN packet to peer A. Then peer A send ACK packet to the peer B. Connection is over.Step 2 and 3 can be merged by one, so it will be 3-way handshake instead."
be,What are the differences between TCP and UDP? And in which case we use which?,networking,"The key difference between TCP and UDP is TCP has a mechanism to resend loss packets, but UDP doesn't. So TCP suits in the case where packet loss can not be acceptable, like transfer file, request... UDP suits in the case packet loss can be tolerated, like in real-time voice/video calls."
be,How Ping command works? What is TTL? How does TTL will be changed?,networking,"Ping command sends a packet to the destination server, waits for the response then calculates round trip time.Time-to-live is a mechanism that prevents a packet to be forward around the internet forever. Like the name, it is the number of times or hops, that packet can be forward before it is discarded by a router. Each time a router receives a packet, it reduces TTL of that packet by 1. If TTL reaches zero, the router will discard this packet then send an ICMP message back to the sender. The recommended default value of TTL is 64."
be,How HTTP works?,networking,HTTP is an application protocol that transfers hypertext messages between client and server. It uses specific request methods to perform specific tasks. They include:- POST: create a new entity- PUT: update an entity entirely- PATCH: update an entity partially- GET: get value- HEAD: get value without data- OPTION: get all the methods that the server supports for this resource- ...
be,Why did people say that HTTP is stateless? The reason they make it stateless?,networking,People say HTTP is stateless because each request is executed independently. Stateless provides high scalability.
be,Can we make a persistent HTTP connection? pros and cons of this way?,networking,"Yes.HTTP persistent connection keeps one connection to send many objects. It can help reduce CPU resources, travel time, network traffic... But resources will be occupied and not be available to others."
be,Why HTTP require cookie each time we send the request?,networking,No it doesn't required cookie.
be,Can someone use your cookie and log in your Facebook account? How to migrate this?,networking,"If Facebook stores authentication straight info in cookies normally and does not do anything special, the answer is yes.We can mitigate it using HttpOnly flag."
be,What is HTTP session? How does authentication work in HTTP? What is JWT?,networking,"Cause HTTP is stateless, HTTP session and cookie are two ways to connect some requests together.Session is created and stored at server side, usually just temporary. Session ID will be sent to client, client may submit it to server as a cookie, or url parameter, so server will know which session this request belongs to. Session ends when user logout, close web browser, or timeout. Session is more secure, compared to cookie.Cookie is stored at client browser. Cookie will expire at the set time.JWT is standard for creating data with opt-in signature and encryption, used for authentication."
be,"Which type of ""data"" HTTP can help us to get or push? (binary file? image? text file? video file? music file?)",networking,"HTTP can help us get or push all kinds of files like text, image, binary, video, music..."
be,REST/RESTful?,networking,"REST stands for representational state transfer. It's a set of constraints that describes how an API should work. It includes four main principles:- Client-Sever: There is always a client and a server. Client sends request to server and server reply with response.- Stateless: Server handles client request independently. Client's request must contain enough information that server requires.- Uniform interface: For example, a resource is identified in URI, HTTP response always comes with status and body.- Cacheability: Client can cache response.An API that follows REST constraints is called RESTful."
be,AJAX technique?,networking,"AJAX uses XMLHttpRequest to communicate with server. The first ""A"" stands for asynchronous, which means using AJAX, we can communicate with server without reloading the page."
be,How HTTPS work?,networking,"HTTPS uses SSL - Secure Socket Layer to protect the communication by encryption. Before exchanging data, an SSL connection must be established first, then data will be encrypted then transferred safely."
be,"When you type ""google.com"" into your browser, that will happen when you type enter till everything is displayed on your screen?",networking,"The first thing that happens is DNS lookup. The browser will get the corresponding IP address with the domain name from its cache, from the computer cache, from the local host file. If there is no data in these places, then the browser will send a request to DNS server to obtain the IP address. ([More](https://serverfault.com/questions/208172/how-does-my-browser-know-where-to-get-data-from-a-server))The second thing is browser will detect if HTTPS is required or not in case we don't type the full url. Browser can get this information from its history data, from a preload list. Otherwise, it will send an HTTP request. (When server receives the request, server can do appropriate action to force user uses HTTPS if it wants.)The third thing is TCP connection establishment. The TCP connection can be established by a process called 3-way handshake. If HTTPS is used, after TCP connection is established, the SSL connection establishment process will start.Fourthly, after having the connection, client will send data to the server and server will send a response back to client through this connection.The next thing is browser will render the data from response based on the content type. If there is no content type, the broswer will read the body of response to know which kind of data it is. If the content type is html, broswer will parse it then get resources like images, js files, css files if necessary."
be,DNS lookup (in case you already access google.com before and also in case you do not know the IP of google.com),networking,"DNS information is cached in browser and operating system. If there is no corresponding data in both of these places, DNS request will be sent to the DNS resolver. The resolver will make necessary request to Top Level Domain server, to Domain Name server to get the IP address of the requested host, then return to user."
be,Which protocol DNS use and why?,networking,"DNS primarily uses UDP as transport protocol because it's fast and DNS data usually is small and fits an UDP packet.TCP is used when the data is greater than 512 bytes, which can not be fit on a single UDP packet."
be,"How to know ""google.com"" require HTTP or HTTPS? how browser can know and redirect from HTTP to HTTPS?",networking,"There are at least two ways that make the web we are accessing change from using HTTP to HTTPS.The first way is the server will redirect to HTTPS when the HTTP request comes.The second way is using HSTS, HTTP strict transport security. When a browser sends the first HTTP request to server, server will add a header into the response indicates that the next request will require using HTTPS. Browser will automatically use HTTPS next time based on that information. In addition, browsers like Chrome have a HSTS preload list, they will automatically use HTTPS for all of the sites in that list."
be,"After you get the HTML content for ""google.com"" how to get the \*.js and image files?",networking,Chain requests.
be,"After your browser display ""google.com"" fully, is there any connection open?",networking,It depends on if the connection is keep alive or not.
be,What is the connection pool? It's advantages and disadvantages? How to implement connection pool in your programing language?,networking,"Connection pool is a cache of database connections so connection can be reused when future request comes. Opening a connection is costly, so after a connection is opened, it is placed into connection pool so it can be reused later."
be,What is socket?,networking,Socket is an endpoint for a program to send and receive data across the network. Socket allows communication between processes on the same machine or different machines.
be,"Why do we need socket? Why socket is a ""file"" in linux?",networking,"Not only socket, everything is treated as files in Linux operating system. It provides a common and universal interface for things to communicate in this OS."
be,What is the maximum number of connections a server can handle? (if it has unlimited resource) (in case of the same client and in case of multiple clients),networking,"TCP has 4 fields to identify the uniqueness of a socket: source IP, source port, destination IP, destination port.Theoretically, if server listens on a port, a client can open a maximum of 2^16 connection. that's is the maximum number of ports a client can open. For multiple clients, the number can be multiplied by 2^32, it is the possible number of source IP addresses. So the maximum number of connections is 2^48.But in practice, the maximum number of connections depends on the kernel configuration. Because each socket needs a file descriptor, the number of sockets is limited by the maximum number of file descriptors that the machine allows. In addition, a file descriptor needs a certain amount of memory so it can also be limited by the number of available memory."
be,"When you open multiple tabs on your chrome, how OS knows which packet (both sending and receiving) correspond to which tab? (how about in se you open many tabs to the same page ""for eg: google.com"")",networking,Because each connection has its own socket that is used to exchange data.
be,"What are the maximum numbers of connection your machine can connect to ""google.com"" (if you have unlimited resource)",networking,"It is the maximum number of ports my machine can open, which is 2^16."
be,Can two processes listen to the same port on your machine? Why? How?,networking,"Yes, and it is useful for multicast purpose. Socket needs to be specified as a reused socket before binding to do so."
be,"What is buffer? why we always need buffer when working with ""file""?",networking,Buffer is a segment of memory that is reserved to store necessary data being processed. Buffer helps reduce the processing time.
be,What is unix socket? When to use it?,networking,Unix socket or IPC socket is a data communication endpoint that allows processes in a same machine to communicate with others.
be,What is TCP proxy? reverse proxy? and VPN?,networking,"A TCP proxy server is a server that acts as an intermediary between and client and server. Its goal is to hide clients on the internet. The server only knows that request came from the proxy server and doesn't know about the actual clients.A reverse proxy, on the other hand, protect server from client. It hides server from client. from the client point of view, client sends data to the reverse proxy and receives data from it too.VPN allows devices on a public network to be connected as they are in a private network."
be,How your router at your home works?,networking,"Router connects devices within a network by forwarding packets between them. Packets might be sent between devices, or from a device to the internet and vice versa. It maintains an ARP (address resolution protocol) table to know where to forward a packet to."
be,"Inside LAN network, it uses IP or MAC address? Why?",networking,"Inside a LAN network, it uses MAC address cause we don't need a layer 3 protocol to communicate between devices that are in the same local network."
be,How does it know which packet comes from (or arrive at) which machine?,networking,Router will use the ARP table to know the MAC address of the device which this packet is sent to.
be,What is the difference between Hub and Switch inside LAN?,networking,"Hub is operated on Physical layer and supports only broadcast transmission.Switch is operated on Data link layer and supports unicast, multicast, and broadcast transmission.s"
be,How load balancer works?,networking,"Load-balancer distributes load to servers. It can do it randomly, uses an algorithm like round-robin, or distribute requests based on the current load of each server."
be,"When the server wants to send data back to the client, does the connection need to go through the load balancer?",networking,It depends on whether the server and the load balancer are in the same private network and share the same IP address.
be,What is different between reverse proxy and load balancer?,networking,Reserve proxy acts as an intermediary without any load distributing operation.
be,Can load balancer be a bottleneck? (Because it is the end point of too many requests) (bottleneck about RAM or CPU or Network?),networking,Yes. And it also can be a single point of failure.
be,"What is `process`, `thread`? What are the differences between them?",operating system,"A process is like a program in execution. And a thread is a segment of a process. Each process has its own memory and is isolated. Meanwhile, threads of the same process can easily communicate with other threads, access common variables, memory."
be,"What data `process`, `thread` need to live? Why do they say that Thread is a lightweight process?",operating system,Thread is a lightweight process because it does not cost much CPU to switch between threads as between processes.
be,How CPU switch (context switch) between processes/threads? How data is to ensure safety? (in case single CPU core and multiple CPU cores),operating system,"When process context switching happens, the state of the current process will be stored in Process Control Block (PCB), so this process can be resumed later. It includes the value of the CPU registers, the process state, and memory-management information. Data pages in memory of the current process can be replaced or not, depending on the availability of memory, and the memory-management method of the operating system.When thread context switching happens, the state of the current thread will be stored in Thread Control Block (TCB), so the thread can be resumed later. It includes the value of the CPU registers, the thread state, a program counter, a stack pointer, and a pointer to the PCB of the process to which the thread belongs. There is one major difference in thread context switching compared to processes: the address space remains the same (the is no page replacement)."
be,What is multi-process and multi-thread? When should we use which?,operating system,"Multi-processing is when more than 2 processes are running simultaneously on a computer. This is probable in a multi-processor computer, where each processor handles a process.Multi-threading is when more than 2 threads created by the same process are running simultaneously."
be,Process has how many states? How does it change between each state?,operating system,"Basically, a process has 5 states: new, ready, running, wait, and terminate. New is the status of the process when it is created. At the ready status, the process waits to be assigned to a processor. When the process is assigned to a processor, its status becomes running and the processor executes the process instructions. If the process need something like I/O, or the CPU is assigned for another process, process status will become waiting. When all the instructions are executed, or the process is terminated by OS, it moves to terminate state where it waits to be removed out of the main memory."
be,Scheduling algorithm,operating system,"There are many types of scheduling algorithms like first come first serve, shortest job first, shortest remaining time first, round-robin, etc."
be,What will happen if a process is waiting? Or a thread is sleeping?,operating system,"When a thread is sleeping, other threads might be running.When a process is waiting, OS can run another process."
be,How CPU detects that a thread is sleeping? Or detect when it wants to run?,operating system,"OS has an OS scheduler that keeps track of the list of processes and their status. When the thread goes to sleep, it tells the scheduler that it gives up its time slide, and it shouldn't be wake up until a certain time has elapsed. The next time the scheduler looks at this process, if the time has elapsed, it will change this thread status as ready to run."
be,What is thread-pool? How to use it? Describe how to create a thread-pool in your programming language,operating system,Thread pool is a design pattern that's used to manage concurrent execution. It is also called as worker model. A thread pool has a limited number of threads to allocate for concurrent execution.
be,Can 2 different processes access or change data of each other address space? (this question may make you confuse with your knowledge about virtual memory),operating system,"Cause memory can be used by a process at this time and later by another process, yes an address space in general does not belongs to any process and can be changed by many processes, but in a certain time, an address space belongs to a process only and can only be modified by this process."
be,Can 2 processes use the same library (for eg: libc is required to every process)? How?,operating system,"It is possible if the library is a shared library, not a static one. Each process has its own virtual memory address that refers to the same physical memory address that stores the shared library."
be,How 2 processes can communicate with each other? (There are a lot of ways but focus on the OS's way),operating system,It can use a shared resource or pass messages to other processes.
be,What is child-process? How to create a child-process?,operating system,"Child process is a process created by another process. Child process inherits most of properties from its parent, such as environment settings, process directory, from its parent. It does not inherit some properties like process id, lock..."
be,Can it read/write data on it's parent process?,operating system,"No, it cannot. If it wants to communicate with its parents, it has to use a separate shared memory segment or use a socket."
be,"What is copy on write (COW), Dirty COW? **(this concept is important to understand OS)**",operating system,"Copy on write is when multiple callers ask for a copy of a resource, OS can return the pointer to the old resource and only make the private copy for a caller when necessary, like when the caller wants to modify this resource. The advantage is if the caller makes no modification, no private copy needs to be created."
be,What will happen when child-process changes a variable of parent process?,operating system,Child process cannot change variables of its parent.
be,If file descriptor also be inherited by the child process. What if 2 processes can handle a same file descriptor or even a same socket?,operating system,"2 processes can handle the same file descriptor/socket. To prevent other processes does further things with the socket that the current process wants to close, we can use shutdown function instead of close function to stop other processes from using this socket."
be,What is critical zone?,operating system,Critical zone or critical region is the segment of code where processes access shared resources.
be,What is race condition and how to handle this case?,operating system,Race condition is when two threads access a variable at the same time. It can lead to data inconsistency if the operations are executed in a certain order. To prevent this we can take advantage of some locking mechanisms.
be,What is locking mechanism? mutex? semaphore? spinlock? read lock vs write lock?,operating system,"Mutex is a mutual exclusive flag to detect if the desired resource is free and claim it for use.Semaphore is a generalized mutex, to control the number of available resources.Spinlock is a mechanism in which a process keeps asking for the availability of the resource via polling."
be,What is deadlock and how to avoid deadlock?,operating system,"Deadlock is when there is a circle where some processes lock something and wait for something that other processes have already locked.Deadlock happens when all of these conditions happen:- Mutual exclusion: It means processes want to access the same resource.- Hold and wait: When processes need more than one resource and it already has some, it will hold them and wait for the rest.- No preemption: A process can not take away resource that is being held by other processes.- Circular wait.This can be avoided by making processes release their locked variable when they cannot get the other necessary resource, or granting some preemption permission for some processes."
be,What is virtual memory? Why do we need it? How does it work?,operating system,"Virtual memory is a memory management technique where secondary memory (eg disks) can be used as main memory like RAM. Virtual memory allows computers to operate quite normally when memory shortages happen.When a process is in use, its data is stored in a physical address using RAM. If at any point, RAM space is needed for something more urgent, data can be swapped out of RAM into virtual memory and swapped back again when needed."
be,How large virtual memory is?,operating system,"The size of virtual memory is unlimited. Actually, it is limited by the disk space but the disk space is quite large so we can consider it unlimited."
be,What is paging?,operating system,Paging is the memory management mechanism that allows OS to get the processes from the secondary memory to the physical memory in form of fixed-size blocks called pages.
be,Can 2 processes map to the same physical address? How and in which case?,operating system,Yes. Each process has its virtual memory address and can be mapped to the same physical memory address when it is processed by CPU. The condition is they need to take turns to be processed.
be,What is heap space and stack space?,operating system,Heap space is for dynamic memory allocation. Stack space is for static memory allocation.
be,What will happen with memory when you open an application?,operating system,The application will be loaded to RAM when we open an application.
be,What will happen when you call another function (with parameters) or return from a function?,operating system,"When we call another function, local variables of the new function will be put to stack, and the stack register will be moved to the appropriate position. If the function takes parameters, it will create a duplicate version of those parameters (If the parameter is a pointer, it still creates a new pointer that points to the same address).When a function returns, local variables will be pop out of stack and the stack pointers will also be moved to the appropriate position."
be,What causes stack overflow?,operating system,Stack overflow happens when the stack memory runs out. The most common cause of stack overflow is infinite recursion.
be,What is dynamic allocating? How does it work?,operating system,Dynamic allocation is the act of asking for a specific segment of memory from the OS.
be,How does deallocation work?,operating system,Deallocation announces for the OS that this segment of memory is free now and can be used by other processes.
be,What happens when your computer is full of memory?,operating system,To be defined. (It will throw error?)
be,"Why you do not need to ""deallocate"" local variable?",operating system,Cause local variable is allocated in stack and will be destroyed automatically after the function returns.
be,How does Garbage Collection work? When it will be triggered?,operating system,"Garbage Collector (GC) will detect which object in heap memory has no reference. It means this object cannot be used anymore and it's safe to sweep this object away. GC will run periodically for languages that have GC. Besides, languages like Java or Python have a mechanism to invoke GC manually."
be,What is a pointer? What difference between pass by value and pass by reference?,operating system,"Pointer is the address of a variable. Pass by value means passing only the value of the variable, while pass by reference means passing the address of this variable in the memory."
be,Where global variable will be saved?,operating system,Process memory is divided into four sections:- Text section: when the code is stored.- Data section: when static and global variables are stored.- Stack section: where local variables are stored.- Heap section: where dynamically allocated variables are stored.
be,"Why in Linux everything is ""file""?",operating system,"It will create a uniform interface for operations on Linux systems. To be more exact, everything in Linux is a stream of bytes that is represented as a file descriptor."
be,How does mouse/keyboard/monitor... communicate with your computer?,operating system,It streams a stream of bytes into our computer.
be,What is file descriptor?,operating system,File descriptor is a unique identifier for a file or input/output resources.
be,What is buffer? Why do we need buffer?,operating system,Buffer is a segment of memory that is reserved to store necessary data being processed. Buffer helps reduce the processing time.
be,What will happen if 2 processes read/write to the same file?,operating system,"If 2 processes read/write to the same file, it means they use the same file descriptor to access this file, also the file offset. So the changes that one process does with the shared file are visible to the other process. ([More](https://walkerlala.github.io/archive/what-if-write-to-the-same-file.html))"
be,What is system call (syscal)?,operating system,"A syscall is a programmatic way that allows a computer program to request a service from the kernel of the operating system, on which the program will be executed."
be,How to do a syscal?,operating system,Some libraries provide functions that allow us to interact with the kernel.
be,What happens with CPU when we execute a syscal?,operating system,"CPU will execute the system call handler, which will perform some action to fulfill the syscall. ([More](https://www.ibm.com/docs/en/aix/7.2?topic=calls-understanding-system-call-execution))"
be,What is user space and kernel space?,operating system,"Memory is divided into kernel space and user space:- Kernel space is where the code of the kernel is stored, and executed.- User space is where the code of everything other than the kernel is stored and executed."
be,What is in-memory cache? (memcached/redis),operating system,In-memory cache is the data storage layer between the application and the database. It stores data in memory which has a much fast data access speed so it is used to speed up the application.
be,LRU? implement LRU in your program language! (How about multi-thread?),operating system,"Least recently used is a strategy to invalidate cache. As the name already said, it will remove the least recently used data when the cache is full. We can implement LRU using a combination of hashmap and a doubly linked list."
be,How to migrate Cache stampede?,operating system,"Cache stampede happens when a lot of data need to be queried at the same time but most of them haven't been cached yet, so the number of queries that need to be executed on database is huge. We can mitigate cache stampede by warming cache, cache locking, or predicting when the cache is expired so we can update cache."
be,Hash vs Encrypt vs Encode,security,"Hashing is the act of transforming data from arbitrary size to a fixed size value. For example the module operator.Encode is a way to transform data to another form to preserve usability. For example, 2 bit 0 and 1 can represent almost every kind of data we know.Encryption is the act of transforming data to another form to preserve confidentiality. For example, AES encryption uses a secret key to transform data into an encrypted string. Only the person who has the same key can decrypt the encrypted string and read the message."
be,Are there any way we can crack Hash,security,"We can always try to guess the original string by calculating the hash of every possible input then comparing the result with the hash string. However, due to hashing collision, there might be more than one input that has the same output."
be,Symmetric vs asymmetric encryption? AES vs RSA?,security,Symmetric encryption uses the same key for both encrypting and decrypting data.Asymmetric encryption uses a public key to encrypt and a private key to decrypt data.
be,Fast Hash vs Slow Hash?,security,"Fast Fash is the type of hash function with fast computation time and Slow Hash is the type hash function with slow computation time. Fast Hash is used for checking the integrity of data, while slow hash is used for hashing password."
be,When we use Encode??,security,"We use Encode so data can be represented in a better use form. For example, we transform text, audio, image into 1 and 0 so computers can understand, store, process, etc."
be,What is the perfect hash function?,security,A perfect hash function of a set is a hash function that maps distinct elements of this set to elements of another set without any collisions.
be,What is the load factor of hashing?,security,"When a map initiates, two things need to be considered are the initial capacity and the load factor. The initial capacity is the capacity of the hash table underlying the map. When the load is bigger than the load factor, it means the underlying table is quite full, a process called rehashing happens, a twice bigger size hash table is allocated to store the data of the map."
